,Unnamed: 0,year,food_category,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_inedible_parts,tons_not_fit_for_human_consumption,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,gallons_water_footprint,meals_wasted,food_name_food_waste,best_match,score,food_name,serving_size,protein,percent_daily_value,fat,carbs,calories,fiber,calcium,iron,potassium,sodium,phosphorus
15,15,2023,Cantaloupe,79118.74845976,699456.1441397599,44824918.9874441,79118.74845976,79118.74845976,38768.18215153239,38537.36056711456,0.0,0.0,0.0,0.0,0.0,79118.74845976,0.0,0.0,0.0,0.0,0.0,2444723777.5843177,131864580.76626667,cantaloupe,dried cantaloupe,0.7692307692307693,dried cantaloupe,28.0,0.0,0.0,0.0,89.3,350.0,0.0,0.143,0.00129,,0.264,
16,16,2023,Cantaloupe,79118.74845976,699456.1441397599,44824918.9874441,79118.74845976,79118.74845976,38768.18215153239,38537.36056711456,0.0,0.0,0.0,0.0,0.0,79118.74845976,0.0,0.0,0.0,0.0,0.0,2444723777.5843177,131864580.76626667,cantaloupe,cantaloupe chunks,0.7407407407407407,cantaloupe chunks,142.85714285714286,0.7057142857142857,0.0,0.0,9.528,38.285714285714285,1.042857142857143,0.002,0.0001742857142857,0.1841999999999999,0.0147142857142857,
17,17,2023,Carrots,46754.705147560395,1692366.6825539605,38592438.28362972,45853.32571211334,46579.48869398045,2805.2805988536234,12961.333033426186,175.2164535799463,0.0,726.1629818671115,0.0,0.0,45471.6825539604,9.544927975147392,0.0,144.31652936324147,0.0,227.7817008145537,1441986427.9206195,77632481.15663408,carrots,carrots,1.0,carrots,79.7,1.2160000000000002,0.5,0.0,8.803999999999998,37.05,2.53,0.02865,0.0004489999999999,0.2995555555555555,0.0928,
18,18,2023,Cauliflower,136787.6772195122,553387.6772195122,190569861.06285712,136787.6772195122,136787.6772195122,83440.4815975,83167.8393930607,0.0,0.0,0.0,0.0,0.0,136787.6772195122,0.0,0.0,0.0,0.0,0.0,4226660475.413751,227979462.03252035,cauliflower,cauliflower,1.0,cauliflower,74.9428125,2.2500737500000003,0.0,0.036875,6.874044375,41.6893125,3.4375749999999994,0.024375,0.0001662499999999,0.1812857142857142,0.0414375,
19,19,2023,Celery,229313.325,977088.325,116938032.77773432,229313.325,229313.325,18345.06484,140078.5354815498,0.0,0.0,0.0,0.0,0.0,229313.325,0.0,0.0,0.0,0.0,0.0,7085649723.46026,382188875.0,celery,celery,1.0,celery,110.0,0.0,1.6666666666666667,0.0,3.64,14.0,1.8,0.036,0.00033,0.236,0.105,
20,20,2023,Cherries,214041.21204018896,638222.7969999999,315633217.8039761,168934.64476341804,210803.74700262316,17123.296963215118,113434.19683972649,3237.4650375658453,0.0,41869.10223920512,0.0,0.0,151222.797,107.240607503416,0.0,1632.86871664852,0.0,15971.738439266095,6563732322.478835,351339578.33770525,cherries,cherries,1.0,cherries,28.666666666666668,1.6666666666666667,15.333333333333334,0.0,65.26666666666667,244.33333333333337,2.5,0.025,0.0017666666666666,0.3,0.0083333333333333,
21,21,2023,Chili Peppers,17777.232997675,127824.78875,16465744.17855893,14561.311229379891,17551.453302922215,1955.49562974425,9103.39406083137,225.77969475278667,0.0,2990.1420735423208,0.0,0.0,13299.78875,2.254886885475019,0.0,116.37860870591072,0.0,1142.8889837885056,545818033.7231623,29252422.171537023,chili peppers,calzone pepperoni,0.6,calzone pepperoni,170.0,12.4,60.0,17.1,26.5,312.0,1.8,0.147,0.00106,,0.941,
23,23,2023,Cranberries,244785.647775,593725.035,182236973.47,198871.49479252743,241490.21932667395,4895.712955499999,126119.47767037258,3295.42844832606,0.0,42618.72453414646,0.0,0.0,180842.535,355.7523452181484,0.0,1415.5118085159263,0.0,16257.6956387934,7512822168.651504,402483698.87778986,cranberries,cranberries,1.0,cranberries,41.35,0.0,0.0,0.179,66.74,266.2,5.584999999999999,0.0159,0.000305,0.0722,0.0026315789473684,
24,24,2023,Cucumbers,266444.07886287133,1088750.4158528713,119801098.66660737,266444.07886287133,266444.07886287133,7993.322365886139,64378.12191412331,0.0,0.0,0.0,0.0,0.0,266444.07886287133,0.0,0.0,0.0,0.0,0.0,8232968641.104167,444073464.77145225,cucumbers,cucumbers,1.0,cucumbers,168.0,0.925,2.0,0.0,2.91,12.5,0.7,0.0165,0.00029,0.1445,0.001,
25,25,2023,Figs,2620.4490000000005,33216.456,2399390.61,2186.753707437,2589.3210860088006,26.20449,1313.3339344605715,31.1279139912,0.0,402.5673785717999,0.0,0.0,2016.456,0.4589546457958952,0.0,16.272028623204104,0.0,153.566724168,80489448.1583654,4315535.143348001,figs,figs,1.0,figs,34.0,3.035,0.0,0.0,64.65,262.5,9.1,0.1605,0.0009649999999999,0.65,0.0115,
